#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-BI:SUPER{BPM:306}SA:X,306,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:306}SA:Y,306,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS4:308}Fld:SP,308,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:308}Fld:I,308,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-MG:SUPER{BEND:312}Fld:SP,312,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:312}Fld:I,312,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{SB:314}Fld:SP,314,V:1-SR,,,setpoint,SB,K,Sextupole
V:1-SR-MG:SUPER{SB:314}Fld:I,314,V:1-SR,,,readback,SB,K,Sextupole
V:1-SR-MG:SUPER{SB:317}Fld:SP,317,V:1-SR,,,setpoint,SB,K,Sextupole
V:1-SR-MG:SUPER{SB:317}Fld:I,317,V:1-SR,,,readback,SB,K,Sextupole
V:1-SR-MG:SUPER{Q3:319}Fld:SP,319,V:1-SR,,,setpoint,Q3,K,Quadrupole
V:1-SR-MG:SUPER{Q3:319}Fld:I,319,V:1-SR,,,readback,Q3,K,Quadrupole
V:1-SR-BI:SUPER{BPM:321}SA:X,321,V:1-SR,,,readback,BPM,X,Beam Position Monitor
