V:1-SR-MG:SUPER{HC:75}Fld:SP,elemHandle=put,elemName=hc:75,elemIndex=7500,elemPosition=18.81,elemLength=0.0,id=43,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{HC:75}Fld:I,elemHandle=get,elemName=hc:75,elemIndex=7500,elemPosition=18.81,elemLength=0.0,id=43,elemField=x,aphla.sys.SR
V:1-SR-MG:SUPER{VC:76}Fld:SP,elemHandle=put,elemName=vc:76,elemIndex=7600,elemPosition=18.81,elemLength=0.0,id=44,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{VC:76}Fld:I,elemHandle=get,elemName=vc:76,elemIndex=7600,elemPosition=18.81,elemLength=0.0,id=44,elemField=y,aphla.sys.SR
V:1-SR-MG:SUPER{S3:77}Fld:SP,elemHandle=put,elemName=s3:77,elemIndex=7700,elemPosition=18.935,elemLength=0.0,id=45,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{S3:77}Fld:I,elemHandle=get,elemName=s3:77,elemIndex=7700,elemPosition=18.935,elemLength=0.0,id=45,elemField=b2,aphla.sys.SR
V:1-SR-MG:SUPER{QS1:79}Fld:SP,elemHandle=put,elemName=qs1:79,elemIndex=7900,elemPosition=19.54,elemLength=0.0,id=46,elemField=b1,aphla.sys.SR
V:1-SR-MG:SUPER{QS1:79}Fld:I,elemHandle=get,elemName=qs1:79,elemIndex=7900,elemPosition=19.54,elemLength=0.0,id=46,elemField=b1,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:83}SA:X,elemHandle=get,elemName=bpm:83,elemIndex=8300,elemPosition=20.322,elemLength=0.0,id=47,elemField=x,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:83}SA:Y,elemHandle=get,elemName=bpm:83,elemIndex=8300,elemPosition=20.322,elemLength=0.0,id=47,elemField=y,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:86}SA:X,elemHandle=get,elemName=bpm:86,elemIndex=8600,elemPosition=25.748,elemLength=0.0,id=48,elemField=x,aphla.sys.SR
V:1-SR-BI:SUPER{BPM:86}SA:Y,elemHandle=get,elemName=bpm:86,elemIndex=8600,elemPosition=25.748,elemLength=0.0,id=48,elemField=y,aphla.sys.SR
