#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:1-SR-MG:SUPER{VC:727}Fld:I,727,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{SF:728}Fld:SP,728,V:1-SR,,,setpoint,SF,K,Sextupole
V:1-SR-MG:SUPER{SF:728}Fld:I,728,V:1-SR,,,readback,SF,K,Sextupole
V:1-SR-BI:SUPER{BPM:730}SA:X,730,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:730}SA:Y,730,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS5:732}Fld:SP,732,V:1-SR,,,setpoint,QS5,K,Quadrupole
V:1-SR-MG:SUPER{QS5:732}Fld:I,732,V:1-SR,,,readback,QS5,K,Quadrupole
V:1-SR-MG:SUPER{SD:734}Fld:SP,734,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:734}Fld:I,734,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-MG:SUPER{HC:735}Fld:SP,735,V:1-SR,,,setpoint,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{HC:735}Fld:I,735,V:1-SR,,,readback,HC,,Horizontal Corrector
V:1-SR-MG:SUPER{VC:736}Fld:SP,736,V:1-SR,,,setpoint,VC,,Vertical Corrector
V:1-SR-MG:SUPER{VC:736}Fld:I,736,V:1-SR,,,readback,VC,,Vertical Corrector
V:1-SR-MG:SUPER{SD:737}Fld:SP,737,V:1-SR,,,setpoint,SD,K,Sextupole
V:1-SR-MG:SUPER{SD:737}Fld:I,737,V:1-SR,,,readback,SD,K,Sextupole
V:1-SR-BI:SUPER{BPM:739}SA:X,739,V:1-SR,,,readback,BPM,X,Beam Position Monitor
V:1-SR-BI:SUPER{BPM:739}SA:Y,739,V:1-SR,,,readback,BPM,Y,Beam Position Monitor
V:1-SR-MG:SUPER{QS4:741}Fld:SP,741,V:1-SR,,,setpoint,QS4,K,Quadrupole
V:1-SR-MG:SUPER{QS4:741}Fld:I,741,V:1-SR,,,readback,QS4,K,Quadrupole
V:1-SR-MG:SUPER{BEND:745}Fld:SP,745,V:1-SR,,,setpoint,BEND,T,Bending
V:1-SR-MG:SUPER{BEND:745}Fld:I,745,V:1-SR,,,readback,BEND,T,Bending
V:1-SR-MG:SUPER{QS3:747}Fld:SP,747,V:1-SR,,,setpoint,QS3,K,Quadrupole
V:1-SR-MG:SUPER{QS3:747}Fld:I,747,V:1-SR,,,readback,QS3,K,Quadrupole
V:1-SR-MG:SUPER{S4:749}Fld:SP,749,V:1-SR,,,setpoint,S4,K,Sextupole
V:1-SR-MG:SUPER{S4:749}Fld:I,749,V:1-SR,,,readback,S4,K,Sextupole
V:1-SR-MG:SUPER{HC:750}Fld:SP,750,V:1-SR,,,setpoint,HC,,Horizontal Corrector
