Tune: 3.322128e+01 1.625978e+01
Chrom: 2.000000e+00 1.789887e+00 
Alpha_c: 3.627490e-04
 element        s            alphax         alphay         betax          betay            etax          etaxp           etay          etayp           phix           phiy     
        DFT2   2.934228e+01  -1.596830e+00  -2.515095e+00   6.544009e+00   8.574039e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   7.969154e+00   4.597802e+00 
         DFT   2.936428e+01  -1.608764e+00  -2.533891e+00   6.614532e+00   8.685116e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   7.972498e+00   4.600352e+00 
   FL2G1C01A   2.936428e+01  -1.608764e+00  -2.533891e+00   6.614532e+00   8.685116e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   7.972498e+00   4.600352e+00 
         DFT   2.938628e+01  -1.620698e+00  -2.552688e+00   6.685580e+00   8.797021e+00   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   7.975806e+00   4.602869e+00 
     DL0AG1A   2.969860e+01  -1.790120e+00  -2.819536e+00   7.750847e+00   1.047487e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   8.019206e+00   4.635410e+00 
    GEG1C01A   2.969860e+01  -1.790120e+00  -2.819536e+00   7.750847e+00   1.047487e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   8.019206e+00   4.635410e+00 
    GSG2C01A   2.969860e+01  -1.790120e+00  -2.819536e+00   7.750847e+00   1.047487e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   8.019206e+00   4.635410e+00 
   SL1G2C01A   2.989860e+01  -1.898612e+00  -2.990417e+00   8.488593e+00   1.163686e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   8.043866e+00   4.653526e+00 
     DL1AG2A   2.998860e+01  -1.947433e+00  -3.067313e+00   8.834738e+00   1.218206e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   8.054259e+00   4.661085e+00 
   PL1G2C01A   2.998860e+01  -1.947433e+00  -3.067313e+00   8.834738e+00   1.218206e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   8.054259e+00   4.661085e+00 
      DBPM07   3.006460e+01  -1.988660e+00  -3.132248e+00   9.133881e+00   1.265323e+01   -1.016605e-04   3.184031e-16   0.000000e+00   0.000000e+00   8.062719e+00   4.667206e+00 
