#set point, Properties, Tag 
# missing pulse magnet : pulsed septum (22.9988, SP1SI, 124),kick3 (24.3886, BU3SI, 127), kick4 (26.5139, BU4SI, 133), BPM (25.7139, P2SI, 130)
LTB-BI{VF:3}X-Gauss:Sigma-I,        elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=sigmaX, aphla.sys.LTB 
LTB-BI{VF:3}Y-Gauss:Sigma-I,        elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=sigmaY, aphla.sys.LTB 
LTB-BI{VF:3}Stats1:CentroidX_RBV,   elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=centerX, aphla.sys.LTB 
LTB-BI{VF:3}Stats1:CentroidY_RBV,   elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=centerY, aphla.sys.LTB 
LTB-BI{VF:3}ROI1:SizeX_RBV,         elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=sizeX, aphla.sys.LTB 
LTB-BI{VF:3}ROI1:SizeY_RBV,         elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=sizeY, aphla.sys.LTB 
LTB-BI{VF:3}ROI1:MinX_RBV,          elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=minX, aphla.sys.LTB 
LTB-BI{VF:3}ROI1:MinY_RBV,          elemHandle=get, elemIndex=73, elemName=VF3, devName=VF3, elemLength=0., elemPosition=12.8671, elemType=FLAG, system=LTB, elemField=minY, aphla.sys.LTB 
 
LTB-BI{VF:4}Pos-Sts,                elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=position, aphla.sys.LTB 
LTB-BI{VF:4}TIFF1:FileNumber_RBV,   elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=imageNumber, aphla.sys.LTB 
LTB-BI{VF:4}TIFF1:FullFileName_RBV, elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=imageName, aphla.sys.LTB 
LTB-BI{VF:4}X-Gauss:Sigma-I,        elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=sigmaX, aphla.sys.LTB 
LTB-BI{VF:4}Y-Gauss:Sigma-I,        elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=sigmaY, aphla.sys.LTB 
LTB-BI{VF:4}Stats1:CentroidX_RBV,   elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=centerX, aphla.sys.LTB 
LTB-BI{VF:4}Stats1:CentroidY_RBV,   elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=centerY, aphla.sys.LTB 
LTB-BI{VF:4}ROI1:SizeX_RBV,         elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=sizeX, aphla.sys.LTB 
LTB-BI{VF:4}ROI1:SizeY_RBV,         elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=sizeY, aphla.sys.LTB 
LTB-BI{VF:4}ROI1:MinX_RBV,          elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=minX, aphla.sys.LTB 
LTB-BI{VF:4}ROI1:MinY_RBV,          elemHandle=get, elemIndex=82, elemName=VF4, devName=VF4, elemLength=0., elemPosition=14.0974, elemType=FLAG, system=LTB, elemField=minY, aphla.sys.LTB 
 
LTB-BI{VF:5}Pos-Sts,                elemHandle=get, elemIndex=112, elemName=VF5, devName=VF5, elemLength=0., elemPosition=20.0333, elemType=FLAG, system=LTB, elemField=position, aphla.sys.LTB 
LTB-BI{VF:5}TIFF1:FileNumber_RBV,   elemHandle=get, elemIndex=112, elemName=VF5, devName=VF5, elemLength=0., elemPosition=20.0333, elemType=FLAG, system=LTB, elemField=imageNumber, aphla.sys.LTB 
