# 2011-04-13T18:38:43
SR:C01-MG:G02A{VCor:L1}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=CL1G2C01A, ELEM_NAME=CYL1G2C01A, ELEM_TYPE=TRIMY, GIRDER=G2, LENGTH=0.2, ORDINAL=126, S_POSITION=30.6673, SYMMETRY=A,; ~tags= HLA.EGET HLA.Y
SR:C01-MG:G02A{VCor:L1}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=CL1G2C01A, ELEM_NAME=CYL1G2C01A, ELEM_TYPE=TRIMY, GIRDER=G2, LENGTH=0.2, ORDINAL=126, S_POSITION=30.6673, SYMMETRY=A,; ~tags= HLA.EPUT HLA.Y
SR:C01-MG:G02A{VCor:L2}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=CL2G2C01A, ELEM_NAME=CYL2G2C01A, ELEM_TYPE=TRIMY, GIRDER=G2, LENGTH=0.2, ORDINAL=134, S_POSITION=32.1047, SYMMETRY=A,; ~tags= HLA.EGET HLA.Y
SR:C01-MG:G02A{VCor:L2}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=CL2G2C01A, ELEM_NAME=CYL2G2C01A, ELEM_TYPE=TRIMY, GIRDER=G2, LENGTH=0.2, ORDINAL=134, S_POSITION=32.1047, SYMMETRY=A,; ~tags= HLA.EPUT HLA.Y
SR:C01-MG:G03A{Bend:1G}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=B1G3C01A, ELEM_NAME=B1G3C01A, ELEM_TYPE=DIPOLE, GIRDER=G3, LENGTH=2.62, ORDINAL=145, S_POSITION=36.1072, SYMMETRY=A,; ~tags= HLA.EGET
SR:C01-MG:G03A{Bend:1G}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=B1G3C01A, ELEM_NAME=B1G3C01A, ELEM_TYPE=DIPOLE, GIRDER=G3, LENGTH=2.62, ORDINAL=145, S_POSITION=36.1072, SYMMETRY=A,; ~tags= HLA.EPUT
SR:C01-MG:G04A{HCor:M}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=SQMG4C01A, ELEM_NAME=CXMG4C01A, ELEM_TYPE=TRIMX, GIRDER=G4, LENGTH=0.2, ORDINAL=150, S_POSITION=36.7222, SYMMETRY=A,; ~tags= HLA.EGET HLA.X
SR:C01-MG:G04A{HCor:M}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=SQMG4C01A, ELEM_NAME=CXMG4C01A, ELEM_TYPE=TRIMX, GIRDER=G4, LENGTH=0.2, ORDINAL=150, S_POSITION=36.7222, SYMMETRY=A,; ~tags= HLA.EPUT HLA.X
SR:C01-MG:G04A{HFCor:FM1}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=FM1G4C01A, ELEM_NAME=FXM1G4C01A, ELEM_TYPE=TRIMX, GIRDER=G4, LENGTH=0.044, ORDINAL=158, S_POSITION=37.8822, SYMMETRY=A,; ~tags= HLA.EGET HLA.X
SR:C01-MG:G04A{HFCor:FM1}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=FM1G4C01A, ELEM_NAME=FXM1G4C01A, ELEM_TYPE=TRIMX, GIRDER=G4, LENGTH=0.044, ORDINAL=158, S_POSITION=37.8822, SYMMETRY=A,; ~tags= HLA.EPUT HLA.X
SR:C01-MG:G04A{Quad:M1}Fld-I; HANDLE=READBACK, CELL=C01, DEV_NAME=QM1G4C01A, ELEM_NAME=QM1G4C01A, ELEM_TYPE=QUAD, GIRDER=G4, LENGTH=0.25, ORDINAL=153, S_POSITION=37.3322, SYMMETRY=A,; ~tags= HLA.EGET
SR:C01-MG:G04A{Quad:M1}Fld-SP; HANDLE=SETPOINT, CELL=C01, DEV_NAME=QM1G4C01A, ELEM_NAME=QM1G4C01A, ELEM_TYPE=QUAD, GIRDER=G4, LENGTH=0.25, ORDINAL=153, S_POSITION=37.3322, SYMMETRY=A,; ~tags= HLA.EPUT
