 ElementName  ElementType     s       betax    alphax     betay    alphay      etax      etaxp     yAper     xAper  
                              m         m                   m                   m                    m         m    
--------------------------------------------------------------------------------------------------------------------
 FL2G1C01A    MARK         29.364280   6.787172  -1.700515  8.361472  -2.403320  0.000409   0.000000  0.004134  0.010191 
 DFT          DRIF         29.386280   6.862272  -1.713130  8.467610  -2.421149  0.000409   0.000000  0.004161  0.010247 
 DL0AG1A      DRIF         29.698600   7.988293  -1.892213  10.059004  -2.674246  0.000409   0.000000  0.004535  0.011056 
 GEG1C01A     MULT         29.698600   7.988293  -1.892213  10.059004  -2.674246  0.000409   0.000000  0.004535  0.011056 
 GSG2C01A     MULT         29.698600   7.988293  -1.892213  10.059004  -2.674246  0.000409   0.000000  0.004535  0.011056 
 SL1G2C01A    SEXT         29.898600   8.768114  -2.006893  11.161117  -2.836321  0.000409   0.000000  0.004777  0.011583 
 DL1AG2A      DRIF         29.988600   9.133999  -2.058499  11.678219  -2.909255  0.000409   0.000000  0.004886  0.011822 
 PL1G2C01A    MONI         29.988600   9.133999  -2.058499  11.678219  -2.909255  0.000409   0.000000  0.004886  0.011822 
 DBPM07       DRIF         30.061100   9.435496  -2.100070  12.104321  -2.968008  0.000409   0.000000  0.004974  0.012016 
 QL1G2C01A    QUAD         30.336100   11.888062  -7.166819  12.295521  2.300333  0.000433   0.000179  0.005014  0.013487 
 DL2AG2A      DRIF         30.467350   13.845229  -7.744935  11.700498  2.233174  0.000457   0.000179  0.004891  0.014555 
 DSCH         DRIF         30.567350   15.438263  -8.185405  11.258980  2.182004  0.000475   0.000179  0.004798  0.015369 
 CL1XG2C01A   HKICK        30.567350   15.438263  -8.185405  11.258980  2.182004  0.000475   0.000179  0.004798  0.015369 
 CL1YG2C01A   VKICK        30.567350   15.438263  -8.185405  11.258980  2.182004  0.000475   0.000179  0.004798  0.015369 
 DSCH         DRIF         30.667350   17.119391  -8.625874  10.827696  2.130835  0.000493   0.000179  0.004705  0.016185 
 DL2BG2A      DRIF         30.798600   19.459561  -9.203990  10.277167  2.063675  0.000516   0.000179  0.004584  0.017255 
 SL2G2C01A    SEXT         30.998600   23.317345  -10.084930  9.472164  1.961337  0.000552   0.000179  0.004400  0.018889 
 DL2CG2A      DRIF         31.248600   28.635103  -11.186103  8.523477  1.833413  0.000597   0.000179  0.004174  0.020932 
 QL2G2C01A    QUAD         31.696600   27.963354  12.499096  10.064528  -5.680717  0.000567   -0.000308  0.004536  0.020685 
 DL3AG2A      DRIF         31.904700   23.004721  11.329028  12.571999  -6.368638  0.000503   -0.000308  0.005070  0.018762 
 DSCH         DRIF         32.004700   20.795142  10.766766  13.878783  -6.699211  0.000472   -0.000308  0.005327  0.017838 
 CL2XG2C01A   HKICK        32.004700   20.795142  10.766766  13.878783  -6.699211  0.000472   -0.000308  0.005327  0.017838 
 CL2YG2C01A   VKICK        32.004700   20.795142  10.766766  13.878783  -6.699211  0.000472   -0.000308  0.005327  0.017838 
 DSCH         DRIF         32.104700   18.698015  10.204504  15.251683  -7.029783  0.000441   -0.000308  0.005584  0.016914 
 DL3BG2A      DRIF         32.262200   15.623072  9.318940  17.548067  -7.550435  0.000392   -0.000308  0.005989  0.015461 
 SL3G2C01A    SEXT         32.462200   12.120401  8.194416  20.700470  -8.211579  0.000331   -0.000308  0.006505  0.013618 
 DL3CG2A      DRIF         32.552280   10.689719  7.687930  22.206692  -8.509359  0.000303   -0.000308  0.006738  0.012789 
 PL2G2C01A    MONI         32.552280   10.689719  7.687930  22.206692  -8.509359  0.000303   -0.000308  0.006738  0.012789 
 DBPM08       DRIF         32.624700   9.605688  7.280739  23.456525  -8.748759  0.000281   -0.000308  0.006925  0.012123 
 QL3G2C01A    QUAD         32.899700   6.858268  3.082162  25.611729  1.208108  0.000210   -0.000209  0.007236  0.010244 
 DL4AG2A      DRIF         33.468900   3.845548  2.210741  24.267532  1.153447  0.000092   -0.000209  0.007043  0.007671 
 GEG2C01A     MULT         33.468900   3.845548  2.210741  24.267532  1.153447  0.000092   -0.000209  0.007043  0.007671 
 DL4BG3A      DRIF         33.487200   3.765147  2.182724  24.225348  1.151690  0.000088   -0.000209  0.007037  0.007590 
 GSG3C01A     MULT         33.487200   3.765147  2.182724  24.225348  1.151690  0.000088   -0.000209  0.007037  0.007590 
 MK1G3C01A    MARK         33.487200   3.765147  2.182724  24.225348  1.151690  0.000088   -0.000209  0.007037  0.007590 
 B1G3C01A     SBEN         36.107200   2.819318  -1.821060  18.617637  0.976912  0.136600   0.104607  0.006169  0.008424 
 GEG3C01A     MULT         36.107200   2.819318  -1.821060  18.617637  0.976912  0.136600   0.104607  0.006169  0.008424 
 GSG4C01A     MULT         36.107200   2.819318  -1.821060  18.617637  0.976912  0.136600   0.104607  0.006169  0.008424 
 DM1AG4A      DRIF         36.608200   5.028292  -2.588070  17.665120  0.924320  0.189008   0.104607  0.006009  0.011447 
 SQMHG4C01A   QUAD         36.708200   5.561216  -2.741166  17.481305  0.913823  0.199468   0.104607  0.005978  0.012059 
 CM1XG4C01A   HKICK        36.708200   5.561216  -2.741166  17.481305  0.913823  0.199468   0.104607  0.005978  0.012059 
 CM1YG4C01A   VKICK        36.708200   5.561216  -2.741166  17.481305  0.913823  0.199468   0.104607  0.005978  0.012059 
 SQMHG4C01A   QUAD         36.808200   6.124759  -2.894262  17.299590  0.903325  0.209929   0.104607  0.005947  0.012674 
 DM1BG4A      DRIF         37.082200   7.825752  -3.313744  16.812449  0.874563  0.238591   0.104607  0.005863  0.014365 
 QM1G4C01A    QUAD         37.332200   10.035372  -5.672127  15.566203  4.026732  0.270976   0.155551  0.005641  0.016290 
 DM2A2G4A     DRIF         37.532200   12.436447  -6.333249  13.999746  3.805553  0.302086   0.155551  0.005350  0.018148 
 SM1G4C01A    SEXT         37.732200   15.101971  -6.994372  12.521760  3.584375  0.333196   0.155551  0.005059  0.020007 
 DFT1         DRIF         37.965400   18.543913  -7.765240  10.910149  3.326480  0.369471   0.155551  0.004723  0.022178 
 DFT          DRIF         37.987400   18.887183  -7.837963  10.764319  3.302150  0.372893   0.155551  0.004691  0.022383 
 FM1G4C01A    MARK         37.987400   18.887183  -7.837963  10.764319  3.302150  0.372893   0.155551  0.004691  0.022383 
 DFT          DRIF         38.009400   19.233653  -7.910687  10.619560  3.277821  0.376315   0.155551  0.004659  0.022588 
 DM2B2G4A     DRIF         38.301800   24.142445  -8.877247  8.797242  2.954457  0.421798   0.155551  0.004241  0.025312 
 PM1G4C01A    MONI         38.301800   24.142445  -8.877247  8.797242  2.954457  0.421798   0.155551  0.004241  0.025312 
 DBPM09       DRIF         38.385700   25.655316  -9.154588  8.309268  2.861673  0.434849   0.155551  0.004121  0.026094 
 QM2G4C01A    QUAD         38.668700   28.330863  0.010890  7.513572  0.041130  0.457044   0.000023  0.003919  0.027424 
 DM2CG4A      DRIF         38.852200   28.328055  0.004412  7.502966  0.016666  0.457048   0.000023  0.003916  0.027423 
 SM2HG4C01B   SEXT         38.977200   28.327504  -0.000001  7.500883  0.000001  0.457051   0.000023  0.003916  0.027423 
 MK3G4C01B    MARK         38.977200   28.327504  -0.000001  7.500883  0.000001  0.457051   0.000023  0.003916  0.027423 
 SM2HG4C01B   SEXT         39.102200   28.328056  -0.004414  7.502966  -0.016664  0.457054   0.000023  0.003916  0.027423 
 DM2CG4B      DRIF         39.285700   28.330864  -0.010891  7.513570  -0.041127  0.457058   0.000023  0.003919  0.027424 
 QM2G4C01B    QUAD         39.568700   25.655318  9.154587  8.309266  -2.861670  0.434875   -0.155512  0.004121  0.026095 
 DM2B2G4B     DRIF         40.072200   17.274661  7.490213  11.471324  -3.418487  0.356575   -0.155512  0.004843  0.021405 
 SM1G4C01B    SEXT         40.272200   14.410801  6.829091  12.882955  -3.639665  0.325473   -0.155512  0.005132  0.019544 
 DM2A2G4B     DRIF         40.534460   11.056167  5.962162  14.868096  -3.929697  0.284688   -0.155512  0.005513  0.017107 
 PM1G4C01B    MONI         40.534460   11.056167  5.962162  14.868096  -3.929697  0.284688   -0.155512  0.005513  0.017107 
 DBPM10       DRIF         40.622200   10.035374  5.672127  15.566192  -4.026728  0.271044   -0.155512  0.005641  0.016292 
 QM1G4C01B    QUAD         40.872200   7.825755  3.313744  16.812437  -0.874560  0.238671   -0.104553  0.005863  0.014367 
 DM1EG4B      DRIF         40.981200   7.121549  3.146870  17.004338  -0.886002  0.227275   -0.104553  0.005896  0.013693 
 DFCH         DRIF         41.131200   6.211934  2.917226  17.272501  -0.901748  0.211592   -0.104553  0.005942  0.012769 
 CM1YG4C01B   VKICK        41.131200   6.211934  2.917226  17.272501  -0.901748  0.211592   -0.104553  0.005942  0.012769 
