#pv_name, el_idx_va, machine, cell, girder, handle, el_name_va, el_field_va, el_type_va
V:3-BSR-MG{QM2G4C30B_T1:227}Fld:SP,227,V:3-BSR,,,setpoint,QM2G4C30B_T1,K,Quadrupole
V:3-BSR-MG{QM2G4C30B_T1:227}Fld:I,227,V:3-BSR,,,readback,QM2G4C30B_T1,K,Quadrupole
V:3-BSR-MG{SM1G4C30B_T1:229}Fld:SP,229,V:3-BSR,,,setpoint,SM1G4C30B_T1,K,Sextupole
V:3-BSR-MG{SM1G4C30B_T1:229}Fld:I,229,V:3-BSR,,,readback,SM1G4C30B_T1,K,Sextupole
V:3-BSR-BI{PM1G4C30B_T1:231}SA:X,231,V:3-BSR,,,readback,PM1G4C30B_T1,X,Beam Position Monitor
V:3-BSR-BI{PM1G4C30B_T1:231}SA:Y,231,V:3-BSR,,,readback,PM1G4C30B_T1,Y,Beam Position Monitor
V:3-BSR-MG{QM1G4C30B_T1:233}Fld:SP,233,V:3-BSR,,,setpoint,QM1G4C30B_T1,K,Quadrupole
V:3-BSR-MG{QM1G4C30B_T1:233}Fld:I,233,V:3-BSR,,,readback,QM1G4C30B_T1,K,Quadrupole
V:3-BSR-MG{CXM1G4C30B_T1:236}Fld:SP,236,V:3-BSR,,,setpoint,CXM1G4C30B_T1,,Horizontal Corrector
V:3-BSR-MG{CXM1G4C30B_T1:236}Fld:I,236,V:3-BSR,,,readback,CXM1G4C30B_T1,,Horizontal Corrector
V:3-BSR-MG{CYM1G4C30B_T1:237}Fld:SP,237,V:3-BSR,,,setpoint,CYM1G4C30B_T1,,Vertical Corrector
V:3-BSR-MG{CYM1G4C30B_T1:237}Fld:I,237,V:3-BSR,,,readback,CYM1G4C30B_T1,,Vertical Corrector
V:3-BSR-MG{B1G5C30B_T1:244}Fld:SP,244,V:3-BSR,,,setpoint,B1G5C30B_T1,T,Bending
V:3-BSR-MG{B1G5C30B_T1:244}Fld:I,244,V:3-BSR,,,readback,B1G5C30B_T1,T,Bending
V:3-BSR-MG{QL3G6C30B_T1:249}Fld:SP,249,V:3-BSR,,,setpoint,QL3G6C30B_T1,K,Quadrupole
V:3-BSR-MG{QL3G6C30B_T1:249}Fld:I,249,V:3-BSR,,,readback,QL3G6C30B_T1,K,Quadrupole
